DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,State,Region,Division,Provider Zip Code,Hospital Referral Region Description,Total Discharges,Average Covered Charges,Average Total Payments,Average Medicare Payments
682 - RENAL FAILURE W MCC,10065,RUSSELL HOSPITAL,3316 HIGHWAY 280,ALEXANDER CITY,AL,Alabama,South,East South Central,35010,AL - Birmingham,23,13330.43,9145.82,8126.17
682 - RENAL FAILURE W MCC,30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,Arizona,West,Mountain,86001,AZ - Phoenix,21,53048.19,18704.14,17255.28
682 - RENAL FAILURE W MCC,40010,MERCY MEDICAL CENTER,2710 RIFE MEDICAL LANE,ROGERS,AR,Arkansas,South,West South Central,72758,AR - Springdale,16,26258.5,8885.75,8186.25
682 - RENAL FAILURE W MCC,40014,WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,Arkansas,South,West South Central,72143,AR - Little Rock,42,24520.04,9156.3,8499.02
682 - RENAL FAILURE W MCC,50111,TEMPLE COMMUNITY HOSPITAL,235 N HOOVER ST,LOS ANGELES,CA,California,West,Pacific,90004,CA - Los Angeles,29,38904.03,14073.37,13685.24
682 - RENAL FAILURE W MCC,60001,NORTH COLORADO MEDICAL CENTER,1801 16TH STREET,GREELEY,CO,Colorado,West,Mountain,80631,CO - Greeley,29,32640.44,11622.48,9444.79
682 - RENAL FAILURE W MCC,60003,LONGMONT UNITED HOSPITAL,1950 MOUNTAIN VIEW AVENUE,LONGMONT,CO,Colorado,West,Mountain,80501,CO - Boulder,21,41485.04,9755.71,9167.33
682 - RENAL FAILURE W MCC,60009,EXEMPLA LUTHERAN MEDICAL CENTER,8300 W 38TH AVE,WHEAT RIDGE,CO,Colorado,West,Mountain,80033,CO - Denver,45,47725.17,10025.13,9128.06
682 - RENAL FAILURE W MCC,60010,POUDRE VALLEY HOSPITAL,1024 S LEMAY AVE,FORT COLLINS,CO,Colorado,West,Mountain,80524,CO - Fort Collins,19,29718.47,9938.26,8731.21
682 - RENAL FAILURE W MCC,60011,DENVER HEALTH MEDICAL CENTER,777 BANNOCK ST,DENVER,CO,Colorado,West,Mountain,80204,CO - Denver,24,40306.12,19406.45,17286.12
682 - RENAL FAILURE W MCC,70018,GREENWICH HOSPITAL ASSOCIATION,5 PERRYRIDGE RD,GREENWICH,CT,Connecticut,Northeast,New England,6830,CT - Bridgeport,36,50563.16,12374.47,11591.91
682 - RENAL FAILURE W MCC,70019,"MILFORD HOSPITAL, INC",300 SEASIDE AVENUE,MILFORD,CT,Connecticut,Northeast,New England,6460,CT - New Haven,33,24867.66,11028.24,8773.39
682 - RENAL FAILURE W MCC,70020,MIDDLESEX HOSPITAL,28 CRESCENT ST,MIDDLETOWN,CT,Connecticut,Northeast,New England,6457,CT - Hartford,69,41290.23,11568.02,10867.68
682 - RENAL FAILURE W MCC,100014,BERT FISH MEDICAL CENTER,401 PALMETTO ST,NEW SMYRNA BEAC,FL,Florida,South,South Atlantic,32170,FL - Ormond Beach,21,25015.61,8334.9,7749.57
682 - RENAL FAILURE W MCC,100128,TAMPA GENERAL HOSPITAL,1 TAMPA GENERAL CIRCLE,TAMPA,FL,Florida,South,South Atlantic,33606,FL - Tampa,99,66565.3,14060.39,12782.74
682 - RENAL FAILURE W MCC,100269,PALMS WEST HOSPITAL,13001 SOUTHERN BLVD,LOXAHATCHEE,FL,Florida,South,South Atlantic,33470,FL - Fort Lauderdale,28,69391.75,11479.21,10324.82
682 - RENAL FAILURE W MCC,110035,WELLSTAR KENNESTONE HOSPITAL,677 CHURCH STREET,MARIETTA,GA,Georgia,South,South Atlantic,30060,GA - Atlanta,117,44335.71,10589.85,9382.63
682 - RENAL FAILURE W MCC,110129,"ST FRANCIS HOSPITAL, INC",2122 MANCHESTER EXPRESSWAY,COLUMBUS,GA,Georgia,South,South Atlantic,31995,GA - Columbus,57,22116.91,8573.49,7668.36
682 - RENAL FAILURE W MCC,110142,EVANS MEMORIAL HOSPITAL,200 N RIVER STREET,CLAXTON,GA,Georgia,South,South Atlantic,30417,GA - Savannah,17,19685.29,9334.82,8674.58
682 - RENAL FAILURE W MCC,110143,WELLSTAR COBB HOSPITAL,3950 AUSTELL RD,AUSTELL,GA,Georgia,South,South Atlantic,30106,GA - Atlanta,88,33011.93,10401.93,9835.98
682 - RENAL FAILURE W MCC,130028,PORTNEUF MEDICAL CENTER,777 HOSPITAL WAY,POCATELLO,ID,Idaho,West,Mountain,83201,UT - Salt Lake City,30,20404.0,12690.03,11403.46
682 - RENAL FAILURE W MCC,130049,KOOTENAI MEDICAL CENTER,2003 KOOTENAI HEALTH WAY,COEUR D'ALENE,ID,Idaho,West,Mountain,83814,WA - Spokane,44,17914.97,9631.02,8840.79
682 - RENAL FAILURE W MCC,140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,Illinois,Midwest,East North Central,62002,MO - St. Louis,67,34486.79,8867.22,8061.97
682 - RENAL FAILURE W MCC,10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,Alabama,South,East South Central,35205,AL - Birmingham,57,31454.26,9051.05,7921.05
682 - RENAL FAILURE W MCC,10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,Alabama,South,East South Central,35650,AL - Birmingham,15,20487.8,9301.33,8624.26
682 - RENAL FAILURE W MCC,10001,SOUTHEAST ALABAMA MEDICAL CENTER,1108 ROSS CLARK CIRCLE,DOTHAN,AL,Alabama,South,East South Central,36301,AL - Dothan,107,35164.42,9022.7,8412.68
682 - RENAL FAILURE W MCC,10005,MARSHALL MEDICAL CENTER SOUTH,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,Alabama,South,East South Central,35957,AL - Birmingham,30,13047.26,8270.83,7563.5
682 - RENAL FAILURE W MCC,10006,ELIZA COFFEE MEMORIAL HOSPITAL,205 MARENGO STREET,FLORENCE,AL,Alabama,South,East South Central,35631,AL - Birmingham,41,42813.58,10353.29,9045.09
682 - RENAL FAILURE W MCC,10010,MARSHALL MEDICAL CENTER NORTH,8000 ALABAMA HIGHWAY 69,GUNTERSVILLE,AL,Alabama,South,East South Central,35976,AL - Huntsville,23,14061.43,7669.56,6984.69
682 - RENAL FAILURE W MCC,10011,ST VINCENT'S EAST,50 MEDICAL PARK EAST DRIVE,BIRMINGHAM,AL,Alabama,South,East South Central,35235,AL - Birmingham,37,24545.89,8694.0,7762.78
682 - RENAL FAILURE W MCC,10016,SHELBY BAPTIST MEDICAL CENTER,1000 FIRST STREET NORTH,ALABASTER,AL,Alabama,South,East South Central,35007,AL - Birmingham,23,50727.91,9452.69,8821.26
682 - RENAL FAILURE W MCC,10019,HELEN KELLER MEMORIAL HOSPITAL,1300 SOUTH MONTGOMERY AVENUE,SHEFFIELD,AL,Alabama,South,East South Central,35660,AL - Birmingham,26,18458.03,9266.76,7714.92
682 - RENAL FAILURE W MCC,10021,DALE MEDICAL CENTER,126 HOSPITAL AVE,OZARK,AL,Alabama,South,East South Central,36360,AL - Dothan,16,11289.93,8122.5,7421.0
682 - RENAL FAILURE W MCC,10023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,Alabama,South,East South Central,36116,AL - Montgomery,63,25952.14,10750.11,9998.42
682 - RENAL FAILURE W MCC,10024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,Alabama,South,East South Central,36106,AL - Montgomery,72,31551.48,9270.5,8459.94
682 - RENAL FAILURE W MCC,10025,GEORGE H. LANIER MEMORIAL HOSPITAL,4800 48TH ST,VALLEY,AL,Alabama,South,East South Central,36854,AL - Birmingham,17,12261.82,9250.58,8457.17
682 - RENAL FAILURE W MCC,10029,EAST ALABAMA MEDICAL CENTER AND SNF,2000 PEPPERELL PARKWAY,OPELIKA,AL,Alabama,South,East South Central,36801,AL - Birmingham,61,15362.16,8963.65,7977.49
682 - RENAL FAILURE W MCC,10033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,Alabama,South,East South Central,35233,AL - Birmingham,105,29711.63,13684.77,10731.02
682 - RENAL FAILURE W MCC,10035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,Alabama,South,East South Central,35058,AL - Birmingham,25,40372.4,9076.88,7378.64
682 - RENAL FAILURE W MCC,10038,STRINGFELLOW MEMORIAL HOSPITAL,301 EAST 18TH ST,ANNISTON,AL,Alabama,South,East South Central,36201,AL - Birmingham,22,34394.63,8398.45,7885.36
682 - RENAL FAILURE W MCC,10039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,Alabama,South,East South Central,35801,AL - Huntsville,128,36530.2,10689.64,8630.41
682 - RENAL FAILURE W MCC,10040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,Alabama,South,East South Central,35903,AL - Birmingham,79,120300.24,10084.65,8620.22
682 - RENAL FAILURE W MCC,10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,Alabama,South,East South Central,35901,AL - Birmingham,75,80629.77,9563.69,8610.6
682 - RENAL FAILURE W MCC,10054,PARKWAY MEDICAL CENTER,1874 BELTLINE RD SW,DECATUR,AL,Alabama,South,East South Central,35601,AL - Huntsville,16,36103.81,8706.68,7930.43
682 - RENAL FAILURE W MCC,10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,Alabama,South,East South Central,36305,AL - Dothan,54,53015.88,8871.31,8226.2
