row_id,order_priority,discount,unit_price,shipping_cost,customer_id,ship_mode,customer_segment,product_category,product_subcategory,product_container,product_base_margin,state_or_province,order_date,profit,quantity_ordered_new,sales,order_id
64,Medium,0.08,124.49,51.94,553,Delivery Truck,Corporate,Furniture,Tables,Jumbo Box,0.63,California,2023-10-16,-500.38,56,6831.37,359
87,Critical,0.04,3.08,0.99,3106,Regular Air,Home Office,Office Supplies,Labels,Small Box,0.37,Texas,2023-07-18,36.02,75,236.87,548
88,Critical,0.02,6.48,5.9,3106,Regular Air,Home Office,Office Supplies,Paper,Small Box,0.37,Texas,2023-07-18,-50.64,53,370.91,548
89,Critical,0.04,125.99,4.2,3106,Regular Air,Home Office,Technology,Telephones and Communication,Small Box,0.59,Texas,2023-07-18,510.489,47,4976.92,548
106,High,0.01,9.31,3.98,1106,Regular Air,Small Business,Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.56,Texas,2023-09-18,-10.9,61,586.96,646
151,Low,0.06,122.99,19.99,2382,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,0.37,New York,2023-09-02,1408.1865,48,5911.35,962
152,Low,0.08,68.81,60,2382,Delivery Truck,Small Business,Office Supplies,Appliances,Jumbo Drum,0.41,New York,2023-09-02,-1069.72,68,4649.85,962
349,Not Specified,0.07,2036.48,14.7,553,Delivery Truck,Corporate,Technology,Office Machines,Jumbo Drum,0.55,California,2023-06-21,4073.25,25,43046.2,2433
448,Medium,0.1,4.26,1.2,699,Regular Air,Consumer,Office Supplies,Pens & Art Supplies,Wrap Bag,0.44,California,2023-09-17,15.42,88,351.56,3042
462,Not Specified,0.07,179.99,19.99,471,Express Air,Consumer,Technology,Computer Peripherals,Small Box,0.48,Georgia,2023-06-08,-568.5351,4,718.03,3138
480,Critical,0.01,3.26,1.86,342,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,0.41,Florida,2023-09-01,-4.6683,20,73.97,3332
494,Medium,0.1,19.98,4,102,Regular Air,Consumer,Technology,Computer Peripherals,Small Box,0.68,Massachusetts,2023-10-20,-20.25,65,1233.32,3397
495,Medium,0.09,2.88,1.49,102,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,0.36,Massachusetts,2023-10-20,-3.381,17,47.31,3397
522,High,0.07,1.68,1.57,181,Regular Air,Corporate,Office Supplies,Pens & Art Supplies,Wrap Bag,0.59,California,2023-09-19,-35.75,116,186.59,3585
566,Not Specified,0.02,60.98,49,1733,Regular Air,Small Business,Office Supplies,Appliances,Large Box,0.59,District of Columbia,2023-08-02,-662.52,34,2119.54,3841
567,Not Specified,0.02,1270.99,19.99,1733,Regular Air,Small Business,Office Supplies,Binders and Binder Accessories,Small Box,0.35,District of Columbia,2023-08-02,9228.2256,36,45737.33,3841
694,Critical,0.05,6.48,8.73,2882,Regular Air,Consumer,Office Supplies,Paper,Small Box,0.37,North Carolina,2023-09-06,-160.3847,35,232.5,4839
770,Low,0.02,5.58,5.3,272,Regular Air,Home Office,Office Supplies,Envelopes,Small Box,0.35,North Carolina,2023-08-05,-29.8984,11,68.46,5509
771,Low,0.03,40.89,18.98,272,Regular Air,Home Office,Furniture,Office Furnishings,Small Box,0.57,North Carolina,2023-08-05,52.9166,21,885.23,5509
819,High,0.07,155.06,7.07,2431,Regular Air,Consumer,Office Supplies,Storage & Organization,Small Box,0.59,California,2023-09-16,-121.75,14,2039.07,5920
830,Low,0.03,10.64,5.16,1193,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,0.57,District of Columbia,2023-10-15,14.48,63,696.96,5984
831,Low,0.03,7.96,4.95,1193,Regular Air,Consumer,Furniture,Office Furnishings,Small Box,0.41,District of Columbia,2023-10-15,22.25,17,149.41,5984
914,Critical,0.02,1360.14,14.7,491,Delivery Truck,Consumer,Technology,Office Machines,Jumbo Drum,0.59,New York,2023-10-18,2028.12,22,31670.6,6562
1008,High,0.09,16.98,12.39,2189,Regular Air,Corporate,Office Supplies,Envelopes,Small Box,0.35,New York,2023-09-05,-48.57,22,381.91,7364
1041,Critical,0.03,300.65,24.49,3011,Regular Air,Corporate,Office Supplies,Appliances,Large Box,0.52,Massachusetts,2023-08-26,1282.496,32,9705.46,7623
1042,Critical,0.06,49.99,19.99,3011,Regular Air,Corporate,Technology,Computer Peripherals,Small Box,0.45,Massachusetts,2023-08-26,17.2,67,3247.54,7623
